CUI_ID,Gene
C1823187,amn1
C1425094,amot
C1425095,amotl1
C1425096,amotl2
C1412387,ampd1
C1412388,ampd2
C1412389,ampd3
C1332086,amph
C1458148,amph
C0063517,amt
C1412390,amt
C1823188,amtn
C1412391,amy1a
C1412392,amy1b
C1412393,amy1c
C1412394,amy2a
C1412395,amy2b
C2239529,amz1
C2239530,amz2
C1426585,anapc1
C3537305,anapc1
C1538273,anapc10
C3539875,anapc10
C1422660,anapc11
C3538975,anapc11
C1538274,anapc13
C1538404,anapc16
C1426586,anapc2
C3543438,anapc2
C1426587,anapc4
C3543439,anapc4
C1423676,anapc5
C3543855,anapc5
C1424948,anapc7
C3537379,anapc7
C0051844,ang
C0152305,ang
C1367482,ang
C1823659,angel1
C1823660,angel2
C0533668,angpt1
C1332088,angpt1
C1704951,angpt1
C3714685,angpt1
C1332089,angpt2
C1704952,angpt2
C3849511,angpt2
C1412398,angpt4
C1412399,angptl1
C1412400,angptl2
C3272715,angptl2
C1412401,angptl3
C1423931,angptl4
C1426346,angptl5
C1427941,angptl6
C1538275,angptl7
C3540392,anhx
C1412402,ank1
C1412403,ank2
C1412404,ank3
C1823662,ankar
C1823663,ankdd1a
C1823665,ankfn1
C1427119,ankfy1
C1423529,ankh
C1538279,ankhd1
C2829962,ankhd1-eif4ebp3
C1427763,ankib1
C1427255,ankk1
C1823677,ankle1
C2678596,ankle2
C1427225,ankmy1
C1428478,ankmy2
C1421879,ankra2
C1423753,ankrd1
C1426821,ankrd10
C1427487,ankrd11
C1428796,ankrd12
C1823666,ankrd13a
C1823667,ankrd13b
C1823668,ankrd13c
C1823669,ankrd13d
C1428088,ankrd16
C1428138,ankrd17
C1428180,ankrd18a
C1538281,ankrd18b
C1412405,ankrd2
C1823671,ankrd20a2
C1823673,ankrd20a4
C3470809,ankrd20a5p
C1538284,ankrd22
C1428378,ankrd23
C1428860,ankrd24
C1428810,ankrd26
C1428472,ankrd27
C1428778,ankrd28
C1538286,ankrd29
C1538287,ankrd30a
C1538288,ankrd30b
C3148603,ankrd30bl
C1538289,ankrd31
C1538291,ankrd33
C2239671,ankrd34a
C2239672,ankrd34b
C2239673,ankrd34c
C1538293,ankrd35
C1538294,ankrd36
C1538285,ankrd36bp1
C3470823,ankrd36c
C1538295,ankrd37
C1823675,ankrd39
C1823676,ankrd40
C1823678,ankrd42
C1823680,ankrd44
C1823681,ankrd45
C1823682,ankrd46
C1823684,ankrd49
C1823685,ankrd50
C1823686,ankrd52
C1823687,ankrd53
C1823688,ankrd54
C1823689,ankrd55
C1424871,ankrd6
C1424093,ankrd60
C2678600,ankrd62
C3148606,ankrd63
C3470974,ankrd65
C1425626,ankrd7
C1426680,ankrd9
C1823693,anks1a
C1823694,anks1b
C1823695,anks3
C1823696,anks4b
C1823697,anks6
C3148607,ankub1
C1823698,ankzf1
C1422396,anln
C3884130,anln
C1427656,ano1
C1823307,ano10
C1412880,ano2
C1422340,ano3
C1428288,ano4
C1428652,ano5
C1428459,ano6
C1539993,ano7
C1823305,ano8
C1823306,ano9
C1421894,anp32a
C1447285,anp32a
C0669086,anp32b
C1332090,anp32b
C1704953,anp32b
C1332091,anp32c
C1332092,anp32c
C1704954,anp32c
C1332093,anp32d
C1332094,anp32d
C1704955,anp32d
C1424481,anp32e
C1412409,anpep
C1427242,antxr1
C3537387,antxr1
C1427727,antxr2
C1412417,anxa1
C1412418,anxa10
C1456375,anxa11
C1412419,anxa13
C0103404,anxa2
C1412420,anxa2
C1412424,anxa3
C1412425,anxa4
C1332095,anxa5
C4048686,anxa5
C1412426,anxa6
C1412427,anxa7
C1412428,anxa9
C1412429,aoah
C1412430,aoc2
C1412431,aoc3
C1428785,aof2
C2698855,aof2
C1412433,aox1
C1540235,ap1ar
C1412434,ap1b1
C1412435,ap1g1
C1412436,ap1g2
C1422136,ap1m1
C1412438,ap1m2
C1412439,ap1s1
C1412440,ap1s2
C1425929,ap1s3
C1412441,ap2a1
C1412442,ap2a2
C1412444,ap2m1
C1412445,ap2s1
C1412446,ap3b1
C1412447,ap3b2
C1412448,ap3d1
C1412449,ap3m1
C1412450,ap3m2
C1413445,ap3s1
C1412451,ap3s2
C1412452,ap4b1
C1412453,ap4e1
C1412454,ap4m1
C1412455,ap4s1
C3280555,ap5b1
C1332098,apaf1
C1672855,apaf1
C1412456,apba1
C3538938,apba1
C1412457,apba2
C3538960,apba2
C1412458,apba3
C3537336,apba3
C1412459,apbb1
C1424947,apbb1ip
C1412460,apbb2
C1427086,apbb3
C0003315,apc
C0032580,apc
C0033036,apc
C0162832,apc
C1176286,apc
C1510852,apc
C2974530,apc
C3540812,apc
C4082832,apc
C1332100,apc2
C1426586,apc2
C1431561,apc2
C1539781,apc2
C1423681,apcdd1
C1824089,apcdd1l
C0033036,apcs
C1456795,apcs
C0207890,apeh
C1332101,apeh
C0140145,apex1
C1332102,apex1
C1425157,apex2
C1538913,aph1a
C1538914,aph1b
C1412463,api5
C1824090,apip
C1427959,apitd1
C3890751,apitd1
C1428740,aplf
C1538915,apln
C3542402,apln
C1412289,aplnr
C4319512,aplnr
C4521288,aplnr
C1412466,aplp1
C1412467,aplp2
C1421897,apmap
C1412468,apoa1
C1677784,apoa1
